"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q9H269",-0.0422400776227239,8.27040392605571,-0.7498236253719,0.455476998918989,0.803201786660509,-6.57334368643975,"unchanged"
"Q09472",0.0422390884725488,8.55618198971308,0.727359860224122,0.469048328774733,0.814258912794133,-6.5898419800235,"unchanged"
"P16870",0.0421648317782823,7.86500254522861,0.68066713886534,0.497972944586429,0.83321151085927,-6.62254905816904,"unchanged"
"Q5JSL3",-0.0421626616491269,7.67975790308513,-0.775010231141915,0.440531761606632,0.793741908601328,-6.5542571777594,"unchanged"
"Q13433",-0.04214435337874,9.61759206361884,-0.592345827273729,0.555226225734768,0.864646068325591,-6.67854386897232,"unchanged"
"Q05086",-0.0421387109931395,8.29621583263535,-0.728922450238456,0.468096988756811,0.813534954899743,-6.58871037800364,"unchanged"
"P15170",-0.0421050609845608,11.7621904924805,-0.729832957863354,0.467543153287681,0.813106335555685,-6.58804989794734,"unchanged"
"P58004",-0.0420445080990852,8.57773197092217,-0.762604226176735,0.447857195953783,0.797851678804416,-6.56373618928142,"unchanged"
"Q92611",0.0420296320269689,5.67936296851425,0.522165879300422,0.602943004276873,0.885531182543394,-6.71754239568283,"unchanged"
"Q96TC7",0.0419910400729009,10.3066820027674,0.669202744785367,0.505219796842628,0.836732048256553,-6.63025166553492,"unchanged"
"Q15853",-0.0419895177470941,8.48870516314262,-0.631704536454619,0.529312677273139,0.850589851505005,-6.6545412651213,"unchanged"
"P43243",-0.0419889008374987,13.5184498409816,-0.700143432502551,0.485791846468536,0.825278039613716,-6.60916696826262,"unchanged"
"Q01664",-0.0419305110843675,7.57158858066334,-0.657496872088034,0.512677256900929,0.84040568919444,-6.63798296611102,"unchanged"
"Q5VZ89",0.0419177693215236,9.30281104970734,0.713943827911192,0.477260969807695,0.819197548610327,-6.59945897492637,"unchanged"
"Q8NFF5",-0.0418942731315166,8.39431675389033,-0.853568768785341,0.395795942385168,0.765550888977329,-6.49073860119789,"unchanged"
"Q9GZT6",0.0418936096454186,7.94053915293604,0.56530295241943,0.573389712032101,0.871757014610688,-6.69414861915987,"unchanged"
"A6NHR9",-0.0418569020496378,9.63553033295594,-0.685339516444905,0.495035681713396,0.831434242406455,-6.61937270994176,"unchanged"
