"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q6AI39",0.969177462736479,4.93331782818285,4.93870552210024,1.23100637201028e-05,7.37657998781578e-05,3.07042952667229,"unchanged"
"Q9NS15",0.968510855264471,5.55161961910658,5.79530043093609,7.19795011112365e-07,7.18061559824136e-06,5.80033151521981,"unchanged"
"O75600",0.968293943382414,6.46695065446507,5.69539791826591,1.0052207173437e-06,9.20464738965567e-06,5.47851914996137,"unchanged"
"P07902",0.968008615522448,7.93141457146969,5.35724027860882,3.09955659758594e-06,2.22651055676301e-05,4.39466500117059,"unchanged"
"P07737",-0.968004056413607,14.3620349106108,-5.56035603390105,1.57748634884581e-06,1.28248165874857e-05,5.04455342506291,"unchanged"
"Q9UKG1",-0.967973816480992,9.4941109211367,-5.80259979666351,7.02429667863359e-07,7.06408749218886e-06,5.82386681183303,"unchanged"
"Q9Y4Y9",0.967829712760926,9.36242665452092,4.45750535293406,5.82739726978474e-05,0.000317622361214645,1.58399875230109,"unchanged"
"Q9H3H1",-0.967631410767398,9.13638923101192,-6.17339247718647,2.02724956310258e-07,2.98899049990328e-06,7.02219842612481,"unchanged"
"P48729",0.967500100741904,8.38612930903444,5.79812670269179,7.13021084264519e-07,7.14581844702425e-06,5.80944391092287,"unchanged"
"Q14676",0.967398660150582,9.71643778506303,6.99739393639409,1.28228970159075e-08,6.86306333192222e-07,9.68665641022365,"unchanged"
"P20585",0.967023463583837,9.0343317723191,6.06406607681825,2.92532572976933e-07,3.8788513224999e-06,6.66843755463579,"unchanged"
"O60268",0.967018751397564,5.37524471536261,5.76654080409974,7.92477368251179e-07,7.74579845664832e-06,5.70762999935053,"unchanged"
"P61604",0.96694101879711,14.5768817397375,5.5853867925852,1.451199090207e-06,1.20688153783085e-05,5.12489011171463,"unchanged"
"Q15059",-0.966597649271744,8.70701970866531,-5.75413480990543,8.26044849205575e-07,7.94007087650752e-06,5.66765571253803,"unchanged"
"Q9NRM7",0.966416521567901,6.10179781737706,4.79129096341778,1.99023459571683e-05,0.000115036882047447,2.61026386494801,"unchanged"
"O95633",0.966414703590563,6.51327111627484,6.04767980627908,3.09057206018265e-07,4.03676972245178e-06,6.61543780221746,"unchanged"
"Q9NW75",0.966332369648471,7.10378233878201,7.23368114190089,5.83583135495866e-09,4.5589107784675e-07,10.4463829947575,"unchanged"
"Q5JVF3",-0.966197233131069,9.11148876391841,-5.37819404218704,2.89137927179716e-06,2.09252148796701e-05,4.46152638501028,"unchanged"
"Q7Z2E3",-0.966071085241413,9.33238716095839,-4.69719826698043,2.69963829057444e-05,0.000152296715238048,2.31861918238117,"unchanged"
"Q8TEH3",-0.965925871474795,8.93767928720546,-4.83706552354615,1.71501899712476e-05,0.000100194427508316,2.75274498094252,"unchanged"
"Q9P0J0",-0.965802958568624,10.3322462021593,-6.43723947607169,8.36431135729789e-08,1.79214641618558e-06,7.87648596075135,"unchanged"
