score,prob,y_pred
20837384.152016032,0.1016789457495413,1
85871828.29659317,0.9611041071548104,1
39193280.28677045,0.6788736086576116,1
50735117.88061406,0.8214695478499041,1
20673360.24823157,0.0931162330893963,1
20336250.841051787,0.0752688156548684,1
22368636.03736492,0.1778670418669071,1
16343616.320678096,0.0,0
37201366.74043318,0.6428353735286171,1
42248344.46152243,0.7264141381435474,1
15203252.497606058,0.0,0
20648505.537963506,0.0918118174497691,1
26890052.17179172,0.3664111656081213,1
12374257.60496706,0.0,0
17574620.217350326,0.0,0
20705787.438539267,0.0948153318462835,1
9321454.408513224,0.0,0
14668909.580583831,0.0,0
20218707.05896221,0.0689665971082425,1
19374473.753869142,0.0224884888928873,1
17086867.401959706,0.0,0
22734295.59979489,0.1950820155928987,1
9614876.82277142,0.0,0
28322276.84078444,0.4160884360782956,1
32486245.481606904,0.5378749828932853,1
21648525.68450966,0.1428724902135119,1
41905819.12040325,0.7215040667732879,1
16817291.516710803,0.0,0
25307392.332364097,0.3061881553364974,1
21506684.84719278,0.1358061605219931,1
20423416.16454339,0.0799157831111555,1
16738781.517729346,0.0,0
24747626.087418552,0.2834587058323631,1
11056443.666506926,0.0,0
17986314.829490043,0.0,0
36108015.03549248,0.6211229754742975,1
38780906.58199064,0.6717644625825594,1
9243367.48519063,0.0,0
10742874.35019031,0.0,0
20164190.657475937,0.0660297013432532,1
22051675.624778863,0.1626440699578665,1
13510200.555343913,0.0,0
17554113.714486055,0.0,0
36268835.57021752,0.6244080769754794,1
29716163.637658074,0.46039562092487,1
34614788.84430891,0.589027450202707,1
11440185.774769437,0.0,0
40818283.88959296,0.7052361932975995,1
29390864.279063195,0.4503944840602203,1
26751763.50376664,0.3613786389721273,1
12225385.854276814,0.0,0
11571190.075300874,0.0,0
12152792.685905244,0.0,0
42458227.324616976,0.7293740122683735,1
59187045.67534929,0.8803181317032364,1
10601050.241845718,0.0,0
13314768.542427525,0.0,0
16366095.192477891,0.0,0
76926419.86280562,0.944479030501882,1
