"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q16204",0.0186810008463283,9.07972985699723,0.510200744313621,0.610464671819012,0.882488878835886,-7.11596549497525,"unchanged"
"P08708",-0.0186534089418284,11.7320521095634,-0.424434803589681,0.671697844954131,0.909945307865385,-7.1559984250984,"unchanged"
"Q9H892",0.0186468233665886,5.82711116758579,0.439106280990304,0.661051172727322,0.906426947730213,-7.1496700895559,"unchanged"
"O95870",0.0186447201136168,7.77312266616579,0.539226248283349,0.590321173584087,0.873961251834935,-7.10075744448909,"unchanged"
"O75165",0.0186387706387094,8.62541317594065,0.517893780452474,0.605095865999963,0.881195708060855,-7.11201640930877,"unchanged"
"Q96PX8",0.0186352415951214,4.94582750368016,0.294567345753016,0.76862517101483,0.93750285511189,-7.20265114809248,"unchanged"
"Q9BQI0",0.0186331969346405,7.33798247446197,0.506232689132717,0.613242191710589,0.8850127566019,-7.11797938240988,"unchanged"
"Q16773",0.0186213304680747,7.58853658192067,0.500972059765342,0.616933111100634,0.88619776878701,-7.12062510331184,"unchanged"
"Q8WUM0",-0.0186034841058049,10.5625883154582,-0.505450414728737,0.613790422874865,0.8850127566019,-7.11837455547954,"unchanged"
"Q96S82",-0.0185920613547008,10.5220491057395,-0.532855977180523,0.594715629680451,0.876852756371228,-7.10416703487875,"unchanged"
"Q04771",0.0185883424529525,9.02519197129609,0.453754332539685,0.650489972920899,0.900909453023228,-7.14313775320044,"unchanged"
"Q8N392",-0.0185691925865186,9.68062751322502,-0.574152323386769,0.566499845580955,0.860632580633729,-7.08134591268946,"unchanged"
"Q9C0C7",0.0185673865759259,6.94449066977658,0.525028535314306,0.600135816309843,0.879329874697544,-7.10830122566734,"unchanged"
"Q9P0W2",0.0185665264990229,7.71548535536362,0.40913588789128,0.682870919179487,0.915158546594109,-7.16236877101124,"unchanged"
"P42773",0.0185646895451725,8.63144371542739,0.434648686890586,0.664278747389183,0.907437315254162,-7.15161550968854,"unchanged"
"O60832",0.0185507879685467,12.2165142524169,0.511307873547107,0.609690719047854,0.882488878835886,-7.11540080073169,"unchanged"
"Q6Y1H2",-0.0185495694337821,8.54973831528668,-0.399438962120628,0.689989371712172,0.918755546446467,-7.16628561550316,"unchanged"
"P15559",-0.0185421558875447,13.2594074632842,-0.476374403509871,0.634319577624309,0.89301602294123,-7.13263010730972,"unchanged"
"Q9Y6V7",-0.0185334086968449,8.36611354947139,-0.513689860225766,0.608027052175825,0.882465036439543,-7.11418172297137,"unchanged"
"P28340",-0.018526538871388,10.9685927805283,-0.495423160623779,0.620836876522953,0.886225794038918,-7.12338592679957,"unchanged"
"Q9UNE7",-0.0185135230308493,11.8828991066856,-0.526729424013692,0.598956106522653,0.879042009421124,-7.10740806195229,"unchanged"
"Q6JQN1",0.0184959539779852,6.89227914138162,0.378294775772922,0.705606599914461,0.921079203579817,-7.17450104005963,"unchanged"
"Q0VF96",0.0184946506357893,5.69336660243734,0.232203487275363,0.816613700143788,0.952698731301385,-7.21906976908423,"unchanged"
"Q629K1",-0.0184827393865525,9.46826434414486,-0.411642725403491,0.681035246865863,0.915095089973145,-7.16134093549034,"unchanged"
"Q16643",0.0184794504445787,11.6621403048965,0.495772418718138,0.620590847185485,0.886224898640172,-7.12321306000816,"unchanged"
"Q13952",0.0184739369734004,7.70537816086679,0.233535660540198,0.815580618972742,0.952388200290601,-7.21875965603095,"unchanged"
"Q9P2W9",-0.0184649716111291,6.31978105166756,-0.479229110640939,0.632291065809237,0.891924086641824,-7.13126777768985,"unchanged"
"Q14566",-0.0184595273913786,12.5833921403705,-0.557568355883916,0.577752977131894,0.868026450443928,-7.09071448209466,"unchanged"
"Q7Z569",0.0184573420181993,7.32542044359705,0.482336179019246,0.630086394051114,0.890848914218943,-7.12977578616019,"unchanged"
"Q8TAP8",-0.0184555202489634,7.95093107408417,-0.391861254710533,0.695571456630883,0.919898755955491,-7.16928116153413,"unchanged"
"P37108",-0.0184509074883135,12.2673279872979,-0.475688593371517,0.634807317252139,0.893359502911049,-7.1329561812682,"unchanged"
"P15586",-0.0184504111184012,10.6804830525134,-0.546824027833874,0.585099718843914,0.871207453502555,-7.09663801911276,"unchanged"
"O76071",0.0184483929327541,10.6547901300335,0.479197403532416,0.632313581138077,0.891924086641824,-7.13128295362513,"unchanged"
"Q6IA17",-0.0184354875432087,4.39138161004104,-0.175802422112936,0.860624266729672,0.966003904335354,-7.23057236139726,"unchanged"
"Q9UK45",-0.0184326181348187,9.24592267243326,-0.289884933770442,0.772199907445545,0.938912445211874,-7.20401877716166,"unchanged"
"Q96DC8",0.0184181219348227,7.18987093195951,0.417823414719206,0.67651747863988,0.913114902511763,-7.15877999627094,"unchanged"
"P02774",-0.0184148266607433,5.29893864035511,-0.418219097508766,0.676228651670184,0.913049866145666,-7.15861474935583,"unchanged"
"Q5T7B8",-0.0184002866280428,5.08539921193282,-0.344317515279284,0.730963640921037,0.926083900507449,-7.18676825022047,"unchanged"
"Q6PI47",-0.0183988529928305,5.62208548018489,-0.353131664008856,0.724355858553432,0.924203311195285,-7.18369664921981,"unchanged"
"O95361",0.0183808034697837,9.96574705624113,0.46999432399223,0.638863163635294,0.894361296987583,-7.1356454645973,"unchanged"
"Q9BXS0",-0.0183751900922244,7.04984847688617,-0.341918898907031,0.732765343912884,0.926083900507449,-7.1875907102063,"unchanged"
"O15013",0.0183730015427752,9.9736798015472,0.481583395299436,0.63062024061676,0.891021139732864,-7.13013815042252,"unchanged"
"Q9NZD2",-0.0183678555527749,8.99761394840504,-0.498785648316596,0.618470003306219,0.88619776878701,-7.12171660205993,"unchanged"
"Q8IYI6",-0.0183562231567507,8.76114076684792,-0.474269850592193,0.635816816305155,0.893831766890254,-7.13362924617441,"unchanged"
"O00221",0.0183466419189493,7.05576566470325,0.491185964064048,0.623825099871599,0.888304885215753,-7.12547346451131,"unchanged"
"Q9HBH1",0.0183412522824096,8.50887438017711,0.354776653555988,0.723124914539951,0.924203311195285,-7.18311480842644,"unchanged"
"P61073",-0.0183411305655445,7.90673592958841,-0.411269266916998,0.681308597607958,0.915151601445513,-7.16149445559281,"unchanged"
"Q13951",-0.0183347049157803,9.26341515926591,-0.456432835778856,0.648566323238134,0.899608846845365,-7.14192013467348,"unchanged"
"Q8WWB7",-0.0183316832740719,7.23220396600658,-0.248873954025941,0.803709689216836,0.947102682683544,-7.21506136592684,"unchanged"
"Q8IVM0",-0.0183113116241014,11.0900132318705,-0.483295301332839,0.629406501586755,0.890848914218943,-7.12931327951189,"unchanged"
"P54727",0.0182845231136319,10.9283624207908,0.448917448494204,0.653969672597473,0.903170384961298,-7.14531842951434,"unchanged"
"Q99538",0.0182797216628341,8.71307502266445,0.497702565134754,0.619231957737046,0.88619776878701,-7.12225553418144,"unchanged"
"Q01518",0.0182651877237987,12.8699957928254,0.500061953587109,0.617572646358789,0.88619776878701,-7.12108002445007,"unchanged"
"P25788",0.0182604279645453,10.8244595256717,0.460380095523534,0.645735780729224,0.898235181956409,-7.14011271793637,"unchanged"
"Q9BSV6",0.0182596686001464,8.18778028618014,0.438648952988854,0.661382015754729,0.906426947730213,-7.14987059247519,"unchanged"
"P12694",0.0182299603077354,8.56817153090772,0.428301046133223,0.668885666630693,0.909588309210629,-7.15435160438923,"unchanged"
"Q9UK97",-0.0182261163277602,6.00684047655327,-0.396066931445705,0.692471287479999,0.919104017361689,-7.16762568783947,"unchanged"
"Q93008",-0.0182170756827382,9.71269974032235,-0.514441549237427,0.607502468498817,0.882395053176025,-7.11379584271757,"unchanged"
"Q96MT3",-0.0182043149473534,7.49188109417957,-0.183934806655286,0.854248049874542,0.966003904335354,-7.22910995920195,"unchanged"
"Q7KZI7",0.0182009916871948,9.64132932962196,0.538702283990094,0.590682055131184,0.874016533013466,-7.10103941334183,"unchanged"
"Q9P2B4",-0.0181959060206136,8.42109757933255,-0.457675098771923,0.647674954020544,0.899432103674173,-7.14135298778334,"unchanged"
"Q7Z6E9",-0.018194330367189,10.2563487469507,-0.529665718515356,0.596922034913501,0.878021666235334,-7.10585938751584,"unchanged"
"P34897",0.018187866333955,11.6834343636568,0.470517484011815,0.638490076726105,0.894361296987583,-7.13539973523319,"unchanged"
"Q8IWJ2",-0.0181655021111382,9.32243978740472,-0.520467902153331,0.603304213559606,0.880860683616227,-7.11068186771626,"unchanged"
"Q9NTI5",0.0181575773316904,10.5643002941097,0.504854928367343,0.614207895697455,0.8850127566019,-7.11867496222944,"unchanged"
"P04075",0.0181533930097491,15.717791009266,0.504770612310776,0.614267016660174,0.8850127566019,-7.11871746884916,"unchanged"
"P36956",0.0181528974500988,6.65851128627101,0.418277898102098,0.676185734521521,0.913049866145666,-7.15859017944817,"unchanged"
"Q9UNI6",-0.018138872533159,9.99457600629552,-0.483417943614442,0.629319587021711,0.890848914218943,-7.12925407301865,"unchanged"
"Q86XZ4",0.0181256543438426,9.83791333059162,0.512337417209233,0.608971397901475,0.88247140190237,-7.11487458366928,"unchanged"
"Q96BN2",-0.0181199890780928,6.56303182093136,-0.402875610072384,0.687463347371799,0.91749672580351,-7.16490819288198,"unchanged"
"Q8IWP9",0.0181197976462242,7.16697615170623,0.361001139294938,0.718473690698452,0.924203311195285,-7.18088873403946,"unchanged"
"Q15269",-0.0181050153701907,8.55606427357338,-0.520463836610343,0.603307041382398,0.880860683616227,-7.11068398068139,"unchanged"
"O14684",-0.0180669772925821,10.5269048466711,-0.227155522086526,0.820531223395177,0.954107157384014,-7.22022878215943,"unchanged"
"Q9Y508",0.0180630447189518,8.89374301867128,0.526622996152151,0.59902989215409,0.879042009421124,-7.10746403340812,"unchanged"
"Q13523",-0.018053599381231,9.29401031326591,-0.465441760667475,0.642113662809227,0.896182934872831,-7.13777229798193,"unchanged"
"Q96EK9",0.0180468584238653,9.49337745842045,0.442895472467935,0.658312543411153,0.905471968280275,-7.1480008008221,"unchanged"
"Q9GZP8",-0.0180395283869892,11.8770644332863,-0.404761449732205,0.686078696517555,0.916492411088177,-7.16414733438475,"unchanged"
"Q9UDW3",0.0180374651556976,6.28083451226773,0.412138817793638,0.680672200212148,0.914937335085345,-7.16113678831205,"unchanged"
"Q8NBT0",0.0180353160062907,8.58855401635549,0.37865425128036,0.705340019609365,0.921007629928229,-7.17436509563705,"unchanged"
"Q13443",0.0180343263098131,9.63912081378719,0.513773646841223,0.607968569662538,0.882465036439543,-7.11413873890314,"unchanged"
"Q05DH4",0.018029136544218,6.34948848484309,0.391437393900879,0.695884186642828,0.919898755955491,-7.16944702636625,"unchanged"
"Q14CS0",0.0180160168815444,6.39702925393564,0.428604756678843,0.668664954969219,0.90955833942523,-7.15422160783487,"unchanged"
"Q7Z4S6",0.0179978446297664,9.184782506166,0.483358952197988,0.629361392621428,0.890848914218943,-7.1292825534439,"unchanged"
"P50151",-0.017985252848348,8.77118741277496,-0.217742423711317,0.827848339300699,0.958659838069327,-7.22232202556097,"unchanged"
"P62328",0.0179723429676599,13.5850040204626,0.426512994673528,0.670185658185313,0.909813647302234,-7.1551150752491,"unchanged"
"Q9H0U9",0.0179710042467107,9.11494330654252,0.449878963112396,0.653277343184028,0.902849524722707,-7.1448867945241,"unchanged"
"O43747",-0.0179663450118923,8.60843982216547,-0.559327722005603,0.576554139842392,0.867263468056538,-7.08973356432795,"unchanged"
"Q9H246",0.0179556655114617,7.56066088407281,0.420531438226188,0.674541729203402,0.912146510545685,-7.15764593617464,"unchanged"
"O75381",-0.0179121695997875,10.2851588405773,-0.4341728008251,0.664623690610614,0.907481005277309,-7.15182202934461,"unchanged"
"P23769",0.0179034164974174,6.39175804504486,0.354254389089895,0.723515646505448,0.924203311195285,-7.18329982851501,"unchanged"
"P63098",0.0178847107223632,10.7773026059115,0.431079006126495,0.666867951608146,0.90903061038898,-7.15315913330076,"unchanged"
"Q16842",0.0178785136451838,6.03702063273828,0.365921384120269,0.714804467560677,0.923660734300405,-7.17910173551849,"unchanged"
"P16989",-0.0178643370277651,12.6250976698926,-0.470158591744973,0.638746007627474,0.894361296987583,-7.13556833706569,"unchanged"
"O95197",-0.0178449570713042,11.695798956285,-0.468020359767431,0.640271707319055,0.895021081710397,-7.13657018339508,"unchanged"
